id,customer name,comapny name,product name,product code,order quantity,orders completed,qc by,created by,updated by,updated on,updated date,created on,created date
1,Calli Goodin,Kirlin-Kshlerin,Flowdesk,54868-6326,96,89,Julieta Real,Merv Arkley,James Fancett,6:16 AM,4/13/2019,4:35 PM,6/30/2019
2,Adelind Huby,Treutel-Nicolas,Stim,67457-195,50,52,Milena Tillman,Laurens Willgress,Lila Etherson,5:11 PM,11/4/2018,8:21 PM,10/10/2018
3,Cammie Lead,Gibson-Greenholt,Holdlamis,54482-148,45,21,Miriam Canfer,Winfield Baynes,Dorelle Kleinstein,11:20 PM,5/24/2019,11:46 AM,9/29/2018
4,Timoteo Sutty,Kuphal Inc,Subin,37000-901,95,37,Ardella Holliar,Wynny Gresser,Hildegarde Jakeway,8:15 AM,2/7/2019,1:59 PM,12/10/2018
5,Babbie Trevear,Douglas LLC,Redhold,49035-560,2,24,Foss Gambles,Gracia Mulrooney,Anne-corinne Tolliday,8:43 PM,3/14/2019,7:25 PM,10/6/2018
6,Zarla Boothe,Russel-Pfannerstill,Konklux,55154-7805,92,66,Keefe Baterip,Dora Cocklie,Renee Strettle,12:44 PM,8/18/2018,6:39 PM,7/19/2018
7,Maureen Van Hault,"Hammes, Cartwright and Hermiston",Stringtough,14290-350,73,60,Janot Gilliard,Janey Earey,Micheline Woodall,10:33 PM,7/9/2018,10:54 AM,5/2/2019
8,Pammie Elstow,Nicolas and Sons,Bigtax,11673-510,64,88,Heddie Heugle,Sigfrid Gainsborough,Lonni Durn,8:54 AM,11/16/2018,10:30 AM,11/30/2018
9,Ericka Gaskin,O'Keefe-Kertzmann,Cookley,10733-412,85,12,Sibella Fanshaw,Kata Samways,Alfy Simeoli,9:57 AM,1/4/2019,1:03 PM,9/4/2018
10,Alf Garner,Mraz-Wilkinson,Subin,67668-162,58,43,Tobi Haxbie,Lavinia Tivenan,Udall Cockerell,7:33 AM,11/22/2018,9:34 PM,4/4/2019
11,Ludvig Kapelhoff,Bogisich-Shields,Voyatouch,49230-194,44,43,Isabella Bremmer,Cyrillus Tregunna,Omar Skedgell,7:25 AM,9/2/2018,12:40 PM,2/23/2019
12,Alvy Pavlenko,"McGlynn, Balistreri and DuBuque",Sonair,53346-1355,97,75,Alysia Matura,Molly Sabbin,Gigi Edden,2:59 AM,12/15/2018,1:44 AM,7/24/2018
13,Waylen Slucock,Kreiger Inc,Keylex,33992-1400,1,70,Bili Busher,Lou Peel,Gavan Meric,11:21 PM,8/2/2018,3:30 PM,6/10/2019
14,Syd MacBarron,"Terry, Murazik and Murphy",Lotlux,52125-256,56,76,Anabelle Jaksic,Ula Hassekl,Consuela Nisard,8:55 PM,5/6/2019,9:49 AM,5/27/2019
15,Edita Pickerin,"Torphy, Oberbrunner and Goldner",Fix San,42248-113,5,71,Matthaeus Boater,Tammie Warlawe,Jaquith Agass,7:43 AM,6/3/2019,9:08 PM,8/6/2018
16,Cliff Dow,Sanford Inc,Fix San,52651-003,71,3,Cherise Loins,Hamlen Klimko,Randy Lamperti,8:10 AM,12/6/2018,8:26 AM,10/8/2018
17,Garrard Kelsow,Beer-Nolan,Lotlux,42507-896,79,48,Hadlee Folke,Giff Franchi,Gay Marshalleck,5:39 PM,7/1/2018,8:17 PM,2/10/2019
18,Rem Jannasch,"Beatty, D'Amore and Schowalter",Greenlam,58118-3741,87,16,Adora Murphy,Nolan Minchenton,Clarita Cornelius,8:07 PM,5/4/2019,10:24 PM,8/13/2018
19,Nial Grimsdith,Schultz Group,Tampflex,59779-473,41,84,Benoite Ashlin,Shelagh Stivens,Corissa Bainbrigge,12:27 PM,12/25/2018,4:35 AM,6/18/2019
20,Haskell Dake,Kunde-Kovacek,Mat Lam Tam,63629-1620,17,68,Carlynne Severy,Rollins Ghioni,Ryun Wibrow,10:57 PM,10/10/2018,8:57 AM,4/5/2019
21,Carlye Pryell,Lind-Murazik,Sonsing,35356-663,5,27,Gustavo Assante,Devonne Ericssen,Zolly Brighouse,11:31 AM,12/13/2018,12:51 AM,6/5/2019
22,Emelita Montel,McLaughlin LLC,Zoolab,15127-006,46,4,Frieda Michallat,Debor Cottel,Morten Alexsandrov,3:54 AM,5/24/2019,1:43 AM,3/19/2019
23,Emmalee Isakowicz,Jaskolski Inc,Hatity,63941-354,32,1,Neale Gummory,Gus MacTague,Dina Birdfield,2:42 AM,4/19/2019,9:30 AM,2/5/2019
24,Clerkclaude Henken,"Beer, Ryan and Hilpert",Aerified,58232-0318,70,37,Nicholle Rupke,Broddie Grellier,Janeen McNelly,9:12 AM,10/17/2018,1:11 PM,1/2/2019
25,Bernhard Shone,Price-Kuhic,Bitchip,51346-062,6,79,Mindy Ferre,Mimi Gaunson,Curran Dalli,3:48 PM,6/6/2019,11:25 PM,9/8/2018
26,Warden Leffek,"Parisian, Mohr and Lockman",Pannier,49401-103,23,93,Mab Blumsom,Briana MacQuaker,Karleen Hazlewood,2:26 PM,12/3/2018,11:00 PM,12/2/2018
27,Angelica Roomes,Stracke-Bins,Namfix,50563-171,84,39,Reena Quirke,Marys Corsham,Casey Eakens,4:18 AM,7/23/2018,1:27 PM,5/15/2019
28,Algernon Eastabrook,Schroeder LLC,Y-Solowarm,65044-2485,10,15,Angeli Devall,Lincoln Love,Salomon Van Dijk,7:58 PM,4/16/2019,11:53 PM,7/17/2018
29,Lilas Bendall,Spinka-Price,Flowdesk,0037-2001,9,27,Randie Dalliwater,Joby Sandaver,Pansy Gauntley,9:54 AM,6/5/2019,9:23 AM,12/12/2018
30,Brandy Bernardoni,Steuber and Sons,Job,56062-057,100,69,Jone Brewin,Elmo Striker,Chelsae Tantum,1:48 AM,8/15/2018,9:50 PM,6/5/2019
31,Reinaldos Mammatt,"Terry, Koelpin and Mante",Konklux,0268-1356,67,86,Ilise Bril,Paulita Hartin,Kori Dunk,12:08 PM,8/23/2018,1:34 AM,12/24/2018
32,Dougy Peare,Reilly LLC,Bitchip,50222-260,12,42,Fayette Mallia,Melicent Escoffier,Minette Huckabe,8:56 AM,2/3/2019,11:34 AM,12/21/2018
33,Vale Hacaud,Durgan-Beier,Sub-Ex,67457-396,35,8,Barton Ciccetti,Cristabel Mehmet,Marketa Tumilty,9:08 PM,12/4/2018,11:27 AM,2/26/2019
34,Wilow Kerne,"Heaney, Runolfsson and Connelly",Stim,52686-327,90,98,Dud Brehaut,Thekla Druitt,Joete Macbane,1:22 AM,11/30/2018,12:17 AM,10/2/2018
35,Winthrop Bevan,Shields and Sons,Treeflex,59663-100,51,83,Mickie Stanbrooke,Thia Coyne,Reta Dwire,2:53 AM,1/7/2019,2:29 PM,7/18/2018
36,Katya Farrington,Ullrich Group,Holdlamis,68180-137,11,42,Eve Labeuil,Evin Burbury,Clari Ralfe,8:51 AM,10/27/2018,3:09 AM,5/4/2019
37,Edith Bassam,Kris-O'Conner,Vagram,48951-6045,91,94,Brose MacKintosh,Devinne Lauks,Donnie Dismore,7:51 AM,1/11/2019,4:52 AM,2/16/2019
38,Isa Phinnis,Maggio Group,Flexidy,42627-217,9,78,Kareem Fifoot,Halie Christer,Zita Gronaller,6:12 PM,9/11/2018,8:47 PM,6/16/2019
39,Ava Ruppel,Veum LLC,Pannier,51824-005,30,92,Kamila Cawthron,Jamison Klimentyev,Susanna Rockwill,6:40 PM,10/2/2018,7:51 PM,12/24/2018
40,Farley Errichelli,Runolfsdottir-Kautzer,Aerified,68084-294,47,12,Eustace Artis,Far Yggo,Randi Draper,5:46 AM,10/11/2018,10:13 AM,12/18/2018
41,Hillary Pullin,Weimann LLC,Namfix,49288-0658,11,29,Charlton Hurll,Jackson Collman,Roderich Bazoche,4:07 PM,9/1/2018,5:02 AM,12/10/2018
42,Virgina O' Scallan,O'Kon Inc,Greenlam,58668-2681,76,87,Charla Sandifer,Orella Dewer,Dame Kenneford,9:20 PM,6/14/2019,7:00 PM,4/19/2019
43,Berny McAloren,"Kemmer, Dooley and Larson",Fixflex,47335-817,13,95,Aguie Bevar,Fredrick McLeod,Gherardo Flageul,2:06 AM,2/22/2019,1:14 AM,10/30/2018
44,Julita Vuittet,"Mosciski, Hyatt and Lowe",Mat Lam Tam,76237-237,55,35,Jessamyn Filchagin,Josefina Burn,Eunice Sivior,6:34 AM,11/7/2018,6:11 AM,10/23/2018
45,Kienan Pirrone,Powlowski-Moore,Regrant,61957-1015,62,15,Conway Rubinfajn,Filip Bariball,Bone Skipsey,11:00 AM,9/23/2018,10:05 AM,11/24/2018
46,Drusie Moy,Oberbrunner-Dietrich,Bitwolf,43406-0034,69,77,Eula Danielczyk,Adah Bernardot,Langston Spadazzi,11:12 AM,1/17/2019,2:22 AM,1/19/2019
47,Melly Dowsett,"Gislason, DuBuque and Corwin",Bitchip,57520-0048,13,15,Theadora Alejo,Jeffy Stede,Budd Davie,2:40 AM,7/1/2018,8:59 AM,1/25/2019
48,Eveline Giacomuzzo,White Group,Tin,0409-6781,50,81,Tami Gunbie,Wald Gillyett,Hadleigh Robertson,1:56 PM,11/22/2018,1:53 PM,9/17/2018
49,Tiffie Label,"Kessler, Dickens and Ratke",Zontrax,70253-078,44,36,Mandy Heale,Daune Pellant,Brody Schellig,12:51 AM,5/25/2019,11:12 PM,12/18/2018
50,Ann Pulteneye,Robel and Sons,Veribet,58118-0613,56,8,Benedetta Lincey,Leontine Dighton,Fawnia Shropsheir,11:36 PM,6/3/2019,6:52 AM,11/1/2018
51,Susette Marsden,Pagac Inc,Bitchip,0143-1346,52,21,Charita Scroyton,Darell Dansie,Jacquelin Ponsford,4:23 PM,11/9/2018,3:12 AM,2/12/2019
52,Lucille Conechie,Ortiz LLC,Ventosanzap,55910-388,56,42,Lulu Cerman,Brana Larvor,Nev Southworth,6:44 AM,6/15/2019,9:57 AM,6/24/2019
53,Kippie Folli,"Bauch, Ward and Schowalter",Zaam-Dox,63539-473,83,95,Eldridge Ciccerale,Steffi Inglish,Lani Nelthorp,11:44 AM,10/2/2018,3:28 PM,11/2/2018
54,Ardis Yakuntzov,"Cartwright, Rice and White",Wrapsafe,66336-338,52,64,Ariadne Baxter,Rey Simoni,Linda Arnatt,10:45 PM,6/29/2019,10:29 PM,8/23/2018
55,Gaston Lesmonde,Barrows Inc,Home Ing,43063-498,47,37,Brear Fearns,Jock Scathard,Jaime Le Estut,8:51 AM,2/11/2019,6:51 PM,2/8/2019
56,Valera Husk,Wisozk-Kreiger,Voyatouch,63824-528,86,32,Oralee McBrady,Cesya Baume,Tobit Salasar,9:57 AM,8/31/2018,4:16 PM,10/18/2018
57,Jillana Tisun,Hauck and Sons,Fix San,76457-002,83,5,Mandel Pawson,Powell Bryce,Elsi Vittery,4:01 AM,4/11/2019,10:57 PM,8/27/2018
58,Lonnie Sammut,"Kuhic, Schmitt and Treutel",Stim,49348-019,22,47,Maisey Rosendorf,Rana Le Page,Agata Bootton,2:17 PM,3/27/2019,8:35 AM,1/25/2019
59,Pierce Gladebeck,Fritsch-Fisher,Bytecard,68016-724,45,61,Arda Duerden,Averyl Belderfield,Hermie Gatus,9:27 PM,12/7/2018,3:48 PM,3/12/2019
60,Cissy Davitashvili,"Stehr, Kshlerin and Strosin",Bytecard,13537-565,37,54,Emmy Magwood,Bondon Shilvock,Ransell Letcher,1:49 PM,8/20/2018,9:34 PM,3/20/2019
61,Lorens Eyes,"Rempel, Jakubowski and Veum",Stronghold,0054-4498,7,57,Alethea Spurman,Karil Clarke-Williams,Ike Sinnott,10:34 PM,10/30/2018,11:09 AM,10/21/2018
62,Skip Birkmyre,"Frami, Nicolas and Haley",Quo Lux,52125-932,66,2,Willis Malmar,Ody Walling,Wanda Kock,7:46 PM,12/3/2018,1:30 PM,8/23/2018
63,Deerdre Bettlestone,Buckridge-Labadie,Bamity,61722-006,71,73,Carla Paradyce,Ned Prosh,Joscelin Carrane,4:40 AM,11/11/2018,9:35 AM,3/3/2019
64,Myrwyn Burris,Lindgren Group,Asoka,64117-228,24,76,Silvana Bailiss,Cathrin Petrollo,Gerik Capinetti,11:21 PM,8/12/2018,9:39 PM,1/16/2019
65,Nap Middis,Koepp LLC,Voltsillam,66312-602,85,39,Jefferey Casaccio,Britney Swyndley,Hasheem Sorel,9:46 PM,8/25/2018,12:04 AM,4/16/2019
66,Lynde Aldin,Bosco Inc,Alpha,42291-270,38,74,Louis Baly,Niels Abrahmovici,Gasparo Ostick,4:19 PM,7/8/2018,3:37 AM,10/20/2018
67,Joell Tinwell,Kling-Maggio,Konklab,55319-533,20,15,Prinz Dyball,Liva Eilhertsen,Constancia Maddocks,5:22 PM,10/10/2018,11:51 AM,6/9/2019
68,Berky Linsey,"Pfeffer, O'Kon and Wehner",Temp,28691-2501,58,7,Benetta Betje,Derk Raffles,Rafaelia Harrema,5:30 PM,11/30/2018,9:31 PM,11/14/2018
69,Gibbie Bircher,"Kirlin, Wintheiser and Larson",Span,41520-309,29,89,Harwilll Lipmann,Chrissy Greschik,Constancy Lavies,5:06 AM,9/7/2018,11:49 PM,6/16/2019
70,Rem Dodgson,Prohaska Group,Ronstring,46122-194,30,34,Franklin Kubu,Luce Pyrke,Lucien Oloman,10:45 PM,8/23/2018,3:05 PM,5/23/2019
71,Diana Moulding,"Stracke, Hirthe and Thiel",Tin,0363-0080,27,72,Putnam McMenamie,Babette Dragon,Mame Knipe,4:21 AM,3/7/2019,2:49 PM,12/19/2018
72,Bobby Weldrick,Schmeler-Parisian,Stim,33261-737,57,61,Zebulon Ranger,Rhianna Molesworth,Mignonne Archibald,11:22 AM,3/3/2019,6:41 PM,6/16/2019
73,Nydia Bann,Bartoletti LLC,Treeflex,67718-941,13,99,Ramon Bauldrey,Dynah Kowal,Nerte Donald,6:04 AM,11/14/2018,7:39 PM,6/7/2019
74,Grant Delcastel,O'Keefe and Sons,Tampflex,49035-892,53,97,Dolly Growcott,Enrica Gemlett,Aile Cuss,2:49 PM,2/21/2019,7:20 PM,7/25/2018
75,Marietta Hagergham,Windler LLC,Treeflex,21749-740,88,25,Bernette Channon,Whit Dreier,Trista Armfirld,5:54 PM,6/14/2019,2:58 PM,4/17/2019
76,Letti Tillett,Hand-Dach,Tempsoft,57520-0040,90,6,Estele Bradlaugh,Sanderson Dunsmuir,Harriette Grayley,4:12 AM,10/12/2018,1:41 AM,10/9/2018
77,Birch Abbess,Shanahan Inc,Rank,55714-4541,8,28,Flossi Deal,Gabriele Valett,Evy Armsby,5:40 AM,6/30/2019,10:31 PM,5/21/2019
78,Rhody Castagneto,Stanton-Jakubowski,Keylex,42783-111,36,100,Temp Mitcheson,Godwin Roizn,Arron Panichelli,8:01 PM,8/27/2018,10:12 AM,5/14/2019
79,Armstrong Swainsbury,"Murazik, Wisoky and Torp",Zontrax,13537-120,74,83,Weston Armistead,Maegan McClenan,Michail Egan,12:21 AM,11/8/2018,5:06 AM,6/18/2019
80,Ade Kildale,White and Sons,Flexidy,49981-011,78,75,Steffie Pietesch,Robbie Lewendon,Merwin Darnell,2:48 PM,10/8/2018,11:28 AM,3/18/2019
81,Amandy Dickins,Kassulke-Hauck,Stringtough,61604-9068,95,53,Cosmo Izkovicz,Caddric Alsina,Joli Cleobury,1:43 AM,5/9/2019,5:59 PM,9/1/2018
82,Lida Tabourier,Bauch-Reynolds,Lotstring,35356-059,64,73,Mia Dunbobin,Germain Cantua,Quintana Hallsworth,9:25 PM,1/11/2019,11:40 PM,2/10/2019
83,Keir Meneyer,"Koepp, Mosciski and Turner",Viva,42549-496,54,77,Geraldine Rivers,Barry Biernacki,Roderich Staddart,11:54 PM,11/16/2018,9:49 AM,4/28/2019
84,Brod Olivie,Schultz-Zboncak,Tampflex,62750-035,35,55,Shaylah De Luna,Glyn Kimbly,Celestia Laweles,7:13 PM,7/18/2018,3:40 PM,6/20/2019
85,Charlean Rooper,"Spencer, Lubowitz and Marks",Prodder,62750-055,76,36,Ashly Bestman,June Mulqueen,Cale Stot,9:18 AM,5/19/2019,5:47 AM,7/18/2018
86,Kaiser Volette,"Hagenes, Rogahn and Williamson",Kanlam,54838-135,48,35,Chaddy Lagden,Kiri Diboll,Jaymie Hallyburton,6:38 AM,12/10/2018,12:27 AM,4/1/2019
87,Celeste Masurel,White Inc,Stronghold,21749-806,33,69,Dorthea Shaul,Tiff Baldery,Mallissa Kramer,1:54 AM,6/26/2019,1:14 AM,5/17/2019
88,Jacques Seares,"Schumm, Tremblay and Jacobi",Asoka,54569-3405,41,44,Tadeas Gori,Germana O'Fallone,Gerty Klemensiewicz,7:37 AM,11/12/2018,8:19 AM,9/21/2018
89,Mildrid Spykings,"Miller, Hills and Welch",Domainer,66336-817,44,5,Erik Quipp,Becka Harkus,Tom Yeaman,8:27 PM,10/8/2018,10:13 AM,6/4/2019
90,Valentina Gisbye,Kessler-Kautzer,Y-Solowarm,55777-0100,42,27,Eilis Betjes,Molli Harral,Annabelle Libby,4:23 AM,12/27/2018,8:22 PM,10/30/2018
91,Kittie Wateridge,Bosco LLC,Solarbreeze,60681-3602,80,46,Vincenty Mannie,Darleen Bangs,Gerti Vannuccinii,5:12 AM,10/10/2018,9:12 AM,12/27/2018
92,Graham Stannislawski,Klein-Bernier,Sub-Ex,0268-0823,65,43,Joachim Tonner,Emmy Datte,Blondy Mixon,6:42 AM,9/12/2018,3:17 PM,8/12/2018
93,Roth Yurshev,Kassulke LLC,Rank,49643-327,46,5,Kimberli Farre,Hoebart Nesbeth,Alfie Killough,1:41 PM,9/7/2018,10:28 AM,7/3/2018
